PI_NAMEs,ORG_NAME,ORG_CITY,ORG_STATE,PROJECT_TITLE,PHR,NIH_SPENDING_CATS,FY,SUPPORT_YEAR,PROJECT_START,PROJECT_END,TOTAL_COST,ACTIVITY,APPLICATION_TYPE,FULL_PROJECT_NUM,Relevance,Reasoning
Joanna Biernacka,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"6/7 PsycheMERGE: Advancing Precision Psychiatry",,Genetics; Mental Health; Psychiatry,2025,2,2024-09-15T00:00:00,2029-05-31T00:00:00,442460,R01,1,"1R01MH133694-01A1",High,"""PsycheMERGE"" is a well-known psychiatric genomics consortium. This is a computational genetics grant."
Matthew Carlson; Shuai Leng,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"High-resolution in vivo imaging of inner ear using photon-counting-detector computed tomography and artificial intelligence",,AI; CT; Imaging,2025,1,2025-07-01T00:00:00,2030-06-30T00:00:00,711342,R01,1,"1R01DC021239-01",High,"Bullseye. ""artificial intelligence"" is explicit."
Hao Gong; Cynthia McCollough,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Diagnostic performance assessment and dose optimization using patient CT images: Application to deep-learning CT reconstruction and denoising technologies",,CT; Deep Learning; Imaging,2025,14,2012-09-20T00:00:00,2027-12-31T00:00:00,567984,R01,5,"5R01EB015131-14",High,"Bullseye. ""deep-learning CT reconstruction"" is explicit."
ANDREW RULE; JENNIFER ST SAUVER,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"A population-based study of deep learning derived organ and tissue measures for accelerated aging using repurposed abdominal CT images",,Aging; CT; Deep Learning; Imaging,2025,3,2023-09-30T00:00:00,2028-05-31T00:00:00,657178,R01,1,"1R01AG079976-01A1",High,"Bullseye. ""deep learning derived... measures... using... CT images"" is explicit."
Fergus Couch,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Resolving the cancer relevance of predisposition gene mutations",,Cancer; Genetics,2024,5,2020-09-01T00:00:00,2027-08-31T00:00:00,638814,R35,5,"5R35CA253187-05",High,"Computational genetics/genomics."
LINDA BAUGHN,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Differences in Tumor Biology of Multiple Myeloma in Association with African Ancestry",,Cancer; Health Disparities; Tumor Biology,2024,2,2023-09-19T00:00:00,2028-08-31T00:00:00,467019,R37,1,"1R37CA282054-01A1",High,"Likely involves genomics/transcriptomics to find biological differences."
MARK MC NIVEN; LEWIS ROBERTS,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Clinic Hepatobiliary SPORE",,Cancer; Liver,2024,7,2018-09-10T00:00:00,2029-08-31T00:00:00,2236005,P50,5,"5P50CA210964-07",High,"A P50 SPORE grant is huge and always has a dedicated bioinformatics/biostatistics core."
Ajit Goenka,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Quantitative In Vivo 68Ga-Fibroblast-Activation-Protein-Inhibitors (FAPI)-46 PET Imaging of Cancer-Associated Fibroblasts (CAFs) in Pancreatic Ductal Adenocarcinoma (PDA)",,Cancer; Imaging; PET,2024,3,2022-09-01T00:00:00,2027-08-31T00:00:00,444504,R01,5,"5R01CA271321-03",High,"""Quantitative... Imaging"" is a core computational task."
SVETOMIR MARKOVIC,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Quantitative assessment of pre-metastatic immune subversion as a risk factor for melanoma relapse",,Cancer; Immunology; Risk Assessment,2024,3,2022-09-01T00:00:00,2027-08-31T00:00:00,581811,R01,5,"5R01CA269986-03",High,"""Quantitative assessment"" and ""risk factor"" analysis points to computational modeling."
Iftikhar Kullo,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"GEMINEA: Genomic Medicine for Individuals from East Africa",,Genetics; Health Disparities,2024,2,2024-05-01T00:00:00,2029-02-28T00:00:00,847553,R01,1,"1R01HG013328-01A1",High,"""Genomic Medicine"" is a core computational field."
Christopher Amos; Manal Hassan; LEWIS ROBERTS,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"International Consortium for the Genetics of Biliary Tract Cancers Cholangiocarcinoma Genome Wide Association Study",,Cancer; Genetics; GWAS,2024,3,2023-04-10T00:00:00,2028-03-31T00:00:00,636071,U01,5,"5U01CA265882-03",High,"""Genetics... Genome Wide Association Study"" (GWAS) is a classic computational genomics task."
Cynthia Crowson,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"DP22-002 Epidemiology of Lupus: Longitudinal Studies in Population-Based Cohorts - 2022",,Epidemiology; Lupus,2024,3,2022-09-30T00:00:00,2027-09-29T00:00:00,950000,U01,5,"5U01DP006597-03",High,"Epidemiology on large, longitudinal population cohorts is a heavily statistical/computational field."
Bradley Boeve; KEJAL KANTARCI,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Longitudinal Imaging Biomarkers of Prodromal DLB",,Biomarkers; Imaging; Neurodegenerative,2024,9,2017-09-25T00:00:00,2027-08-31T00:00:00,2339366,U01,5,"5U01NS100620-09",High,"""Longitudinal Imaging Biomarkers"" is a perfect keyword phrase."
Esteban Braggio; Christopher Oakes; Susan Slager,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"The genetic and epigenetic etiology of progression from the precursor state to chronic lymphocytic leukemia (CLL)",,Cancer; Epigenetics; Genetics,2024,3,2022-09-08T00:00:00,2027-08-31T00:00:00,783300,R01,5,"5R01CA267026-03",High,"""genetic and epigenetic etiology"" is a core computational biology task."
Ann Oberg,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Multifactor risk scores with susceptibility gene mutations to enhance risk assessment of pancreatic cancer",,Cancer; Genetics; Risk Assessment,2024,2,2023-09-19T00:00:00,2028-08-31T00:00:00,142096,R01,1,"1R01CA281513-01A1",High,"""risk scores"" and ""risk assessment"" implies statistical/ML model building."
Arthur Beyder; Purna Kashyap; Kristen Smith-Edwards,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"MECHANISMS OF VISCERAL PAIN DRIVEN BY SMALL INTESTINAL MICROBIOTA",,Gastrointestinal; Microbiome; Pain,2024,2,2023-09-19T00:00:00,2028-07-31T00:00:00,767885,R01,1,"1R01DK138818-01A1",High,"Kashyap is a leading microbiome PI; this work is guaranteed to be computationally intensive (16S/shotgun sequencing analysis)."
Joanna Biernacka; VICTOR KARPYAK,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Genomics of Alcohol Withdrawal and Treatment Response to Benzodiazepines",,Addiction; Genomics; Pharmacogenomics,2024,2,2023-05-01T00:00:00,2027-04-30T00:00:00,369593,R01,1,"1R01AA030438-01A1",High,"""Genomics"" is an explicit keyword."
Rafael Fonseca; AKHILESH PANDEY,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Clinic Center for Clinical Proteomics",,Cancer; Proteomics,2024,3,2022-06-01T00:00:00,2027-05-31T00:00:00,914099,U01,5,"5U01CA214125-03",High,"A ""Clinical Proteomics"" center (`U01`) will have a massive bioinformatics component."
MATTHEW GOETZ,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Clinic Breast Cancer SPORE",,Breast Cancer; Cancer,2024,21,2005-07-01T00:00:00,2027-08-31T00:00:00,2314870,P50,5,"5P50CA116201-21",High,"Another huge P50 SPORE grant with a definite computational need."
Bradley Boeve; RONALD PETERSEN,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Alzheimer's Disease Research Center",,Aging; Alzheimer's Disease; Neurodegenerative; Neurosciences,2024,7,2019-07-01T00:00:00,2029-04-30T00:00:00,4509334,P30,5,"5P30AG062677-07",High,"A P30 ADRC is a massive center grant. They have huge data cores (imaging, genetics, clinical)."
Ming-Fen Ho; Richard Weinshilboum,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Alcohol Use Disorder: Acamprosate Pharmacometabolomics-informed Pharmacogenomics",,Addiction; Metabolomics; Pharmacogenomics,2024,2,2024-09-01T00:00:00,2029-06-30T00:00:00,415165,R01,1,"1R01AA030132-01A1",High,"""Pharmacometabolomics-informed Pharmacogenomics"" is an extremely computationally dense title."
Shounak Majumder; Kenneth Zaret,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Clinic Prospective Resource for Biomarker Validation and Early Detection of Pancreatic Cancer",,Biomarkers; Cancer; Early Detection; Pancreas,2024,10,2016-07-15T00:00:00,2027-08-31T00:00:00,660703,U01,5,"5U01CA200466-10",High,"""Biomarker Validation and Early Detection"" implies a need for biostatisticians and computational biologists."
Nathan Staff,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"The Mayo Clinic NeuroNEXT Clinical Research Site",,Clinical Research; Neurosciences,2024,2,2023-07-15T00:00:00,2028-06-30T00:00:00,435680,U24,5,"5U24NS113854-02",High,"A U24 ""Research Site"" grant for a network like NeuroNEXT will have a significant data management/coordination component."
Azra Alizad; MOSTAFA FATEMI,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"A Contrast-free Ultrasound-based Quantitative Angio Flow Imaging Technique to Assess Peripheral Arterial Disease of Lower Limb",,Imaging; Ultrasound,2024,2,2024-08-01T00:00:00,2029-07-31T00:00:00,691708,R01,1,"1R01EB035210-01A1",High,"""Quantitative... Imaging Technique"" is a computational/signal processing task."
VESNA GAROVIC,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Clinic Center for Clinical and Translational Science (CCaTS)",,Clinical Research; Translational Research,2024,9,2017-09-18T00:00:00,2027-06-30T00:00:00,6931828,UL1,5,"5UL1TR002377-09",High,"The main UL1 grant for the CTSA. A prime target because of its extensive informatics and data science cores."
Nuri Ince,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Acute Modulation of Stereotyped High Frequency Oscillations with a Closed-Loop Brain Interchange System in Drug Resistant Epilepsy",,Brain Computer Interfaces; Epilepsy; Neurosciences,2024,4,2021-09-01T00:00:00,2027-02-28T00:00:00,619657,UH3,5,"5UH3NS115833-04",High,"""High Frequency Oscillations,"" ""Closed-Loop... System"" implies real-time signal processing and software engineering."
Aadel Chaudhuri; Aaron Newman,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Determinants of toxicity and response to immune checkpoint blockade through integrative profiling of T cell clonal dynamics and plasma cell- free DNA",,Cancer; Immunology; Multi-Omics,2024,2,2024-06-07T00:00:00,2029-05-31T00:00:00,711704,R01,1,"1R01CA285623-01A1",High,"""integrative profiling,"" ""T cell clonal dynamics,"" and ""cell-free DNA"" are all core computational immunology/genomics topics."
Ann Oberg,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Management and Data Coordination Unit for PCDC",,Data Science,2024,3,2022-09-01T00:00:00,2027-08-31T00:00:00,626858,U24,5,"5U24DK130001-03",High,"Bullseye. A U24 ""Management and Data Coordination Unit."" This is a job that is explicitly for computational/data management professionals."
Elizabeth Brown; SHAJI KUMAR; CELINE VACHON,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Impact of Genetic susceptibility along the continuum from MGUS to MM",,Cancer; Genetics,2024,3,2022-05-01T00:00:00,2027-04-30T00:00:00,621962,U01,5,"5U01CA261313-03",High,"""Genetic susceptibility"" is a computational genomics task."
Kareem Mohni,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Proteomics of HSV1 Replication",,Proteomics; Virology,2024,3,2022-08-15T00:00:00,2027-07-31T00:00:00,397500,R35,5,"5R35GM145452-03",High,"""Proteomics"" requires computational analysis."
Yan Asmann; Susan Geyer,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Cancer Adoptive Cell Therapy (Can-ACT) Network Coordinating Center at Mayo Clinic",,Cancer; Data Science; Immunology,2024,2,2023-09-01T00:00:00,2028-08-31T00:00:00,456311,U24,1,"1U24CA274418-01A1",High,"Bullseye. A U24 ""Network Coordinating Center."" Another prime target for a data-focused engineer."
Cynthia Crowson,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Population-Based Outcomes Research for Rheumatoid Arthritis: Rural Health Disparities",,Epidemiology; Health Disparities,2024,2,2024-09-24T00:00:00,2029-07-31T00:00:00,828682,R01,1,"1R01AR080517-01A1",High,"""Population-Based Outcomes Research"" is a heavily computational/statistical field."
Nuri Ince; Ashwin Viswanathan,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Oscillatory Neural Correlates of Motor Phenotypes in Parkinson Disease",,Neurosciences; Parkinson's Disease; Signal Processing,2023,2,2022-09-01T00:00:00,2028-07-31T00:00:00,470662,R01,5,"5R01NS127814-02",High,"""Oscillatory Neural Correlates"" implies advanced signal processing of neural data (e.g., EEG, ECoG)."
Cynthia Crowson,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Epidemiology of Lupus: Longitudinal Studies in Population-Based Cohorts - 2022",,Epidemiology; Lupus,2023,2,2022-09-30T00:00:00,2027-09-29T00:00:00,900000,U01,5,"5U01DP006597-02",High,"Epidemiology on large, longitudinal population cohorts is a heavily statistical/computational field."
