PI_NAMEs,PROJECT_TITLE,FISCAL_YEAR,ACTIVITY,TOTAL_COST,PROJECT_START,PROJECT_END,FULL_PROJECT_NUM,ORG_NAME,RELEVANCE,REASONING,ABSTRACT,FETCH_STATUS
Francis Baffour; Hao Gong,AI-assisted quantitative photon-counting-detector CT imaging for cytogenetic risk prediction and treatment response in multiple myeloma,2025,R01,546874,2025-04-01T00:00:00,2029-01-31T00:00:00,,,High,"Bullseye. ""AI-assisted"", ""quantitative... CT imaging"", ""risk prediction"".","PROJECT SUMMARY/ABSTRACT
Focal bone marrow biopsies of the posterior iliac crest are the gold standard for diagnosing multiple
myeloma, yet they do not reflect the spatial and genomic heterogeneity of the disease. Almost 25% of
such patients do not have adequate samples for cytogenetic assessment need for risk stratification.
This inconsistency in bone marrow sampling could result in falsely reassuring prognoses for patients
with aggressive disease. Whole-body imaging presents an unrealized opportunity to derive image
features in the bone marrow that reflect the cytogenetic diversity of clonal plasma cells. Several
advanced imaging modalities are used for diagnosis and disease management. An alternative
approach is to optimize one imaging modality for these tasks. Recently FDA approved photon-
counting detector (PCD)-CT has technological advancements that permit simultaneous bone marrow
composition quantification and lytic lesion detection throughout the whole skeleton. In addition, the
quantitative accuracy of the spectral data can be used to determine changes in bone marrow and
intralesional fat fraction, an indicator of treatment response. This proposal’s specific objective is to
develop imaging based cytogenetic risk stratification models and a quantitative PCD-CT mechanism
to accurately measure bone marrow composition. In Aim 1, we will develop and validate a deep-
learning (DL) imaging-model for multiple myeloma cytogenetic risk stratification. In Aim 2, we will
develop and validate physics-informed DL-assisted material decomposition to derive imaging
biomarkers of multiple myeloma. In Aim 3, we will determine the clinical feasibility of the DL
cytogenetic risk prediction model and imaging biomarkers for multiple myeloma prognostication and
assessing response to therapy. This PCD-CT protocol will be a “one-stop shop” multiple myeloma
tool for disease detection, prognostication, and treatment response assessment. The innovation of
this proposal includes our development of an imaging protocol that leverages the many technical
improvements of PCD-CT, AI image processing, and AI modeling to develop biomarkers from bone
marrow composition. Secondly, a PCD-CT-based AI risk prediction model will be positioned to
supplant focal invasive approaches that may not offer a comprehensive assessment of the entire
heterogeneity of disease burden.",SUCCESS
KEJAL KANTARCI; WALTER ROCCA,Premenopausal bilateral oophorectomy and biomarkers of Alzheimer’s and cerebrovascular diseases,2025,R01,1979481,2025-05-15T00:00:00,2030-04-30T00:00:00,,,High,"""Biomarkers"" implies analysis of large datasets (imaging, genetics, etc.).","PROJECT SUMMARY / ABSTRACT
The social and economic implications of dementia is greatest in women because of their longer life expectancy
and resulting elevated risk for dementia compared to men, and this risk of dementia in women may be, in part,
modulated by ovarian hormones. Although premenopausal bilateral oophorectomy (PBO) is associated with a
reduced risk of ovarian and breast cancer, it is also associated with an increased risk of dementia and other
neurological diseases later in life. It is estimated that one in ten U.S. women have undergone abrupt endocrine
disruption by having their ovaries removed before reaching natural menopause and this rate is even higher in
African American/Black (AA) women. For the large number of women who underwent prophylactic PBO over
the past decade, it is critical that the pathologic mechanisms by which PBO influences the risk of dementia
should be determined in a rigorous manner for preventive approaches. The most common pathologies that
contribute to cognitive impairment and dementia are Alzheimer's disease (AD) and cerebrovascular disease.
Our goal is to understand the effects of abrupt disruption of ovarian hormones before the onset of menopause
on imaging biomarkers of AD and cerebrovascular disease pathophysiology later in life. We will enroll 150
women who underwent PBO and 150 women who did not undergo PBO drawn from a well-characterized and
established population-based cohort. Because our current cohort is predominantly White in Mayo Clinic
Rochester, we plan to enrich this cohort with a new AA cohort from Mayo Clinic Florida to reach a sample of
400 women (200 with and 200 without PBO). We hypothesize that imaging biomarkers of AD and
cerebrovascular disease, and cognitive function will be abnormal both cross-sectionally and longitudinally in
women who underwent PBO compared to referent women who did not undergo PBO, and that this difference
will be modified by race (AA versus White), age at PBO, and APOE ε4. Findings from the proposed project
have implications both for research and for clinical practice. Findings will contribute to clarifying the
mechanisms underlying the development of dementia in women who underwent PBO. In addition, they hold
the potential to alter the clinical practice paradigms related to PBO for non-malignant indications and outside of
the setting of high genetic risk of ovarian cancer. For the one in ten women currently facing the decision to
undergo PBO, determining the late life effects of PBO on the brain is critical for maintaining cognitive health in
the long-term.",SUCCESS
KARLA KERLIKOWSKE; Despina Kontos; CELINE VACHON,Evaluation of novel tomosynthesis density measures in breast cancer risk prediction,2025,R01,671511,2023-03-01T00:00:00,2028-02-28T00:00:00,,,High,"""density measures"" from imaging and ""risk prediction"" are computational tasks.","Breast screening has rapidly transitioned in the US to digital breast tomosynthesis (DBT), an x-ray technology
in which 3-D images are reconstructed from a limited number of low-dose x-ray source projections. DBT offers
superior tissue visualization allowing for the direct measurement of the actual volume of dense tissue, rather
than an estimated percent or volume (from a 2-D mammogram). Since breast density is a strong predictor of
masking and risk, DBT volumetric density measures, including our recently developed and first of its kind, fully
automated 3-D measure, have the potential to improve individualized breast cancer (BC) risk prediction. No
studies to date have evaluated DBT volumetric density measures in large, diverse cohorts or subpopulations to
understand the impact of these measures to improve prediction of masking and risk in order to tailor prevention
and screening approaches. Our goal is to comprehensively examine DBT volumetric density measures
as risk factors for invasive, interval and advanced BC, and evaluate their impact on clinically relevant
BC risk models and artificial intelligence (AI) algorithms across multiple racial groups. We propose this
research in three large breast screening cohorts that perform routine DBT, each with comprehensive clinical
risk factors, multiple DBT per woman, follow-up and BC outcomes. Specifically, we will establish a nested
case-control study of over 3,000 invasive BC cases and 9,000 controls matched on facility, age, race, ethnicity,
date of enrollment DBT and follow-up time and estimate novel research and commercial DBT volumetric
measures as well as ascertain clinical BI-RADS density from DBT screening exams from enrollment up to 6
months prior to diagnosis (or corresponding follow-up for controls). In Aim 1, we will evaluate DBT volumetric
density measures and their combinations as risk factors for invasive, interval and advanced BC, at enrollment
DBT exam, as well as DBT exams within five years of the cancer (or follow-up for controls), using state of the
art commercial and research algorithms. We will also assess differences in associations by time of DBT exam,
age, race, menopausal status and body mass index. In Aim 2, we will evaluate the contribution of DBT
volumetric density measures to clinical BC risk models, including the BCSC 5-year risk model, the novel BCSC
6-year cumulative risk model for advanced cancer, and secondarily, the Tyrer-Cuzick model for both 5 and 10-
year risk. Using these results, we will determine the impact of DBT density measures on high-risk thresholds
for preventative therapy and tailored imaging. Finally, in Aim 3, we will evaluate the contribution of DBT
volumetric density measures to three novel AI algorithms developed for BC risk and detection, with risk of
invasive, advanced and interval BC in the short- and longer-term. Our innovative study will be the largest to
inform how novel DBT volumetric density measures can augment BC risk-stratification and prediction
across multiple races and build a diverse resource to evaluate new DBT measures and risk models as
they evolve. These findings will build an evidence base to inform personalized prevention approaches.",SUCCESS
Matthew Murphy,Biophysically inspired mechanical biomarkers of normal pressure hydrocephalus,2025,R01,395430,2024-05-15T00:00:00,2029-02-28T00:00:00,,,High,"""mechanical biomarkers"" derived from imaging requires computational modeling.","PROJECT SUMMARY
While most forms of dementia arise from irreversible, degenerative processes, normal pressure hydrocephalus (NPH)
symptoms can often be alleviated by placement of a ventriculoperitoneal shunt to divert cerebrospinal fluid from the
characteristically enlarged ventricles. However, due to overlapping clinical and biomarker phenotypes with other
common age-related disorders, NPH remains substantially underdiagnosed and undertreated. Even when
diagnosed, current methods are limited in predicting outcomes of shunt surgery, particularly when considering
noninvasive methods.
Since the disorder was first described, it has been hypothesized that the intracranial mechanical environment was
involved in NPH pathogenesis. Consistent with this hypothesis, we recently reported that NPH is associated with a
characteristic pattern of brain viscoelasticity, as measured by magnetic resonance elastography (MRE). Furthermore,
the presence of this pattern is sensitive and specific for differentiating NPH patients from healthy volunteers and those
with Alzheimer’s clinical syndrome. While MRE is an accurate diagnostic biomarker for NPH, we expect that with
further technical development, MRE will also enable accurate prediction of treatment outcomes. In our preliminary
data, patients with low brain stiffness are less likely to benefit from shunting. However, these predictions are not yet
accurate enough to use clinically. We hypothesize that the existing discrepancies arise from an ambiguity that low
brain stiffness, as measured by current technology, can result either from decreased stiffness in the solid tissue matrix
or increased fluid content in the extracellular space. These two effects must be disentangled to identify the patients
with preserved matrix stiffness as those most likely to benefit from shunting.
Therefore, the overall goal of this work is to develop an MRE framework that jointly leverages strain and diffusion
measurements to estimate the viscoelastic properties of the solid matrix while accounting for interspersed
extracellular fluid. In Aim 1, we will modify the forward model of our machine learning-based inversion framework to
account for subvoxel fluid elements. We will then evaluate the algorithm’s accuracy in simulation and phantom
experiments, along with its repeatability in vivo. In Aim 2, we will compare the diagnostic accuracy of the new method
against existing methods, confirming that this solid-fluid mixture framework can similarly discriminate patients with
NPH from healthy controls and those with Alzheimer’s dementia. Finally, using objective measures of gait collected
before and after surgery, we will test the overall study hypothesis that baseline solid matrix stiffness estimates
(accounting for fluid) can predict the degree of gait improvement following shunt placement.
The proposed technology represents a fundamental shift in the field of brain MRE toward biophysically inspired
modeling. Most importantly, the success of this proposal will provide new insights into the pathogenesis of NPH with
the potential to directly impact patient care.",SUCCESS
Gregory Worrell,Reliable Seizure Prediction Using Physiological Signals and Machine Learning,2025,R01,538326,2022-06-01T00:00:00,2027-05-31T00:00:00,,,High,"Bullseye. ""Seizure Prediction"", ""Physiological Signals"", and ""Machine Learning"" are explicit keywords.","For most individuals living with epilepsy, seizures are relatively infrequent events occupying a small fraction of
their life. Despite spending as little as 0.01% of their lives having seizures (typically only minutes per month),
people with epilepsy take anti-seizure drugs (ASD) daily, suffer ASD related side effects, and spend their lives
dreading when the next seizure will strike. The apparent randomness of seizures is associated with significant
psychological consequences. In addition, despite daily ASD, approximately 1/3 of patients continue to have
seizures. We hypothesize that epilepsy can be more effectively treated, both the seizures and their
psychological impact, by providing patients with real-time seizure forecasting.
There is strong evidence that focal epilepsy is associated with a variable seizure risk that may enable adaptive
therapy targeting periods of high seizure probability. Periods of low seizure probability could require lower
ASD doses, reducing exposure and side effects. We propose that high seizure probability states will respond to
adaptive electrical brain stimulation (aEBS). In addition, patients could alter their activities during periods of
high seizure probability to reduce injury and manage their ASD and activities.
The hypotheses driving this proposal are that 1.) seizures can be prevented (reduced incidence) by targeted
EBS therapy during the pre-ictal state 2.) seizures are not random events, and that brain states associated with
low and high seizure probability can be reliably classified using machine learning methods applied to
physiologic signals and used to adaptively change EBS parameters. 3.) Furthermore, we propose forecasting
can be improved using multi-modal features beyond passive iEEG recordings, including active brain probing
with electrical stimulation (impedance & evoked potentials), core temperature, ECG and serum immunological
markers. Goal: Develop reliable seizure forecasting (>90% sensitivity) with few false positives (<1% time in
warning) and demonstrate modulation of seizure risk and reduction of focal seizures using aEBS.",SUCCESS
Andres Acosta,Phenotype-Tailored Lifestyle intervention for Obesity: A Randomized Trial,2025,R01,668784,2024-07-15T00:00:00,2029-04-30T00:00:00,,,High,"""Phenotype-Tailored"" implies a data-driven, computational approach to stratify patients.","PROJECT SUMMARY
Obesity is a chronic, relapsing, and multifactorial disease, with a prevalence of 42%. Obesity treatment is
challenging in clinical practice because of the physiologic and behavioral adaptations that occur during the
weight-reduced state to preserve energy. Our overall goal is to develop an evidence-based, phenotype-guided
approach for obesity treatment that enhances weight loss and induces weight loss maintenance despite weight-
reduced state adaptations. Our research has identified obesity phenotypes based on energy homeostasis and
behavioral traits. Obesity phenotypes include abnormal satiation (i.e., requiring more calories at each meal to
achieve fullness), abnormal postprandial satiety (i.e., accelerated gastric emptying and increased postprandial
hunger), emotional eating (i.e., eating in response to positive or negative emotions), and abnormal resting energy
expenditure (i.e., low resting energy expenditure). In pilot clinical studies, these obesity phenotypes have
predicted weight loss response to anti-obesity medications and bariatric endoscopic devices. We recently
published data from a 12-week proof-of-concept, non-randomized clinical trial of 165 patients in which 84
participants received lifestyle interventions designed for each phenotypic trait they had and 81 received standard
lifestyle recommendations. The phenotype-tailored lifestyle intervention (PLI) resulted in greater weight loss
compared to the standard lifestyle intervention (SLI) approach for obesity. Patients in the PLI showed
improvement of their phenotype-defining trait(s). Improvement in these traits may explain the greater weight loss
as they potentially counteract physiologic and behavioral adaptations of the weight-reduced state. To validate
these data, we must study PLI in a longer-term and randomized clinical trial. Furthermore, the current methods
used to identify phenotypes in our preliminary studies are time-consuming, invasive, expensive, limited to a few
academic centers, and not accessible for most patients. In an academic-industry partnership, we have developed
a novel biomarker test that predicts obesity phenotypes but that needs to be validated in a large prospective
cohort. As such, we have formulated the following central hypothesis: “tailoring lifestyle recommendations to
obesity phenotypes will enhance long-term weight loss outcomes in adult patients with obesity”. To test our
central hypothesis, we propose a 12-month randomized, blinded, parallel clinical trial in adults with
obesity to test three aims: 1) To compare the outcomes of PLI vs. SLI program; 2) After a 12-month weight loss
program, to compare the long-term effect of PLI compared to SLI on physiological (i.e., satiation, postprandial
satiety, energy expenditure) and behavioral (i.e., emotional eating) adaptations; and 3) To explore whether a
phenotype biomarker predicts weight loss in response to PLI compared to SLI. Significance: Our study has the
potential to introduce an individualized treatment that targets pathophysiological and behavioral phenotypes of
energy balance to enhance and maintain weight loss outcomes.",SUCCESS
Chengwu Huang,Characterization of microvasculature in kidney transplant by super-resolution ultrasound imaging,2025,R01,538923,2024-05-09T00:00:00,2029-03-31T00:00:00,,,High,"""Characterization by super-resolution... imaging"" is a computational image analysis task.","PROJECT SUMMARY
End-stage kidney disease (ESKD) affects a significant number of patients in the U.S. (>785,000 in 2018), and
presents substantial medical, social, and economic challenges. Kidney transplantation is the preferred
treatment for ESKD. However, there is a pressing unmet clinical need for better methods that allow for
noninvasive, accurate, and frequent characterization and monitoring of kidney allograft injury. Such methods
are critical for enhancing long-term allograft survival and improving the quality of life for the kidney transplant
recipients. The change of kidney parenchymal microvasculature and perfusion has been shown to play a vital
role in the progression of allograft injury, while noninvasive tools for imaging and quantification of allograft
microvasculature are still lacking. In this project, we will develop a novel noninvasive, robust, and translatable
super-resolution ultrasound imaging (SRUI) technology. This technology aims to provide imaging and
quantification of parenchymal microvasculature to enable reliable assessment of allograft injuries. In our pilot
patient study of transplant kidneys, parameters derived from SRUI correlate strongly with pathology (r ≥ 0.9).
Aim 1: Technical development. We will advance and optimize the novel SRUI technology for kidney allograft
imaging and quantification. New signal enhancement and localization methods will be developed to improve
the overall performance of SRUI in clinical settings. We will advance the SRUI to 3D to enable more
comprehensive assessments of the graft microvasculature. We will develop novel quantitative SRUI metrics,
including microvascular density, tortuosity, flow speed, cortex perfusion and micro-resistive index.
Aim 2: Clinical patient study. We will study 158 patients to investigate the value of SRUI for kidney allograft
assessment using biopsy histology as validation. The association of SRUI metrics with histological injuries will
be assessed. The ability of SRUI, conventional ultrasound, and clinical measures (eGFR, proteinuria) to
distinguish between kidney allografts with varying degrees of histological injuries will be evaluated. We will also
assess the inter-sonographer reproducibility of the SRUI technology in a subset of 46 patients.
Aim 3: Longitudinal follow-up study. We will conduct a longitudinal follow-up study in 62 patients to assess
the efficacy of SRUI in monitoring and predicting the progression of allograft injury, using biopsy histology as
validation. The association of changes in SRUI metrics with the changes in histological injuries from 1-year to
2-year post-transplant will be assessed. We will study if SRUI metrics or combined metrics at 1-year post-
transplant, or the changes of these metrics from 1-year to 2-year, can distinguish between allografts without
and with histological worsening during this period.
Successful completion of this project will lead to a noninvasive, accessible, cost-effective, and translatable tool
to address the critical clinical need for reliable and frequent characterization of allograft in transplant recipients.",SUCCESS
Patricio Escalante; Kelly Pennington; Elsje Pienaar,Systems biology to predict progression and treatment response in M avium complex pulmonary disease,2025,R01,727858,2024-07-11T00:00:00,2029-06-30T00:00:00,,,High,"""Systems biology to predict"" is an explicit computational keyword phrase.","PROJECT SUMMARY
Prevalence of pulmonary disease due to non-tuberculous mycobacteria in the United States has doubled in the
last 10 years, and Mycobacterium avium pulmonary disease (MAC-PD) is the most common. Treatment requires
≥3 antibiotics for >12 months and efficacy remain low. Given this intense treatment regimen and limited efficacy,
antibiotic therapy is not always advisable. In fact, ~50% of patients will attain culture conversion with observation
alone or with bronchial hygiene treatments. There is currently no way to predict which patients will improve with
or without antibiotic treatment. The result of this uncertainty is prolonged ineffective treatment which risks side
effects, drive drug resistance and extend treatment duration. We propose an interdisciplinary approach that
combines clinical, immunological and pharmacological data. We will integrate these datasets from retrospective
and prospective cohorts using machine learning and mechanistic computational simulations with the goal of
developing a disease progression risk score (DP-RS) for patients managed without antibiotics (Aim 1), and a
treatment failure risk score (TF-RS) for patients treated with guidelines-based antibiotic regimens (Aim 2). Such
risk scores can help to predict patients at risk of disease progression without antibiotics or treatment failure with
antibiotics, so they can be prioritized for closer observation or intensified treatment, respectively.
For patients who do not receive antibiotics (Aim 1) we will a) use retrospective clinical data from Indiana, Florida
and Minnesota to train and test random forest algorithms to predict disease progression and validate our predic-
tions against prospective clinical cohorts from Florida and Minnesota; b) identify antigen specific T cells re-
sponses associated with disease progression; c) predict tissue-level disease progression based on patient-spe-
cific T-cell responses using mechanistic computational models; and d) train and test simulation assisted random
forest (SARF) algorithms that integrate clinical, immunological and computational data to predict disease pro-
gression and derive the DP-RS.
For patients who receive antibiotics (Aim 2) we will a) use retrospective clinical data (Indiana, Florida, Minnesota)
to train and test random forest algorithms to predict treatment failure and validate our predictions against pro-
spective clinical cohorts (Florida, Minnesota); b) identify antigen specific T cells responses associated with treat-
ment failure; c) identify serum and bronchoalveolar lavage pharmacokinetics associated with treatment failure;
d) predict tissue-level treatment response based on patient-specific T-cell responses and pharmacokinetics us-
ing mechanistic computational models; and d) train and test SARF algorithms that integrate clinical, immunolog-
ical, pharmacological and computational data to predict treatment failure and derive the TF-RS.
Together, this work will provide fundamental insights into clinical, immunological and pharmacological contribu-
tors to MAC-PD disease progression and treatment response, as well as provide predictive risk scores (DP-RS
and TF-RS) that will translate into precision medicine management tools, helpful for clinicians and patients.",SUCCESS
Matthew Murphy,Advancing MR elastography to map mechanical signatures of key AD/ADRD processes,2025,R01,397775,2022-12-01T00:00:00,2027-11-30T00:00:00,,,High,"""map mechanical signatures"" is a computational task based on imaging data.","1 PROJECT SUMMARY
 2 Alzheimer’s disease (AD) is the leading cause of dementia in the United States and its impact is only growing with
 3 shifting demographics. The development of powerful biomarkers, measuring amyloid deposition, tau accumulation,
 4 and neurodegeneration, has provided important insights into the pathophysiology of AD and AD-related dementias
 5 (ADRD). Nonetheless, given the large variability across individuals, our understanding of the link between pathology
 6 and cognitive dysfunction remains incomplete. Structural factors contribute significantly to this pathology-cognition
 7 disconnect and are termed as “brain reserve.” There is a critical need for objective measures of reserve that will
 8 improve the assessment of individual prognosis and guide therapy.
 9 Brain biomechanics are an understudied structural feature of the brain, due in large part to the difficulty in measuring
10 relevant biomechanical states in vivo. Magnetic resonance elastography (MRE) is currently unmatched for
11 noninvasive measurement of brain mechanical properties. We have previously demonstrated that brain stiffness is
12 reduced due to AD, and our group and others have demonstrated in multiple studies that brain stiffness is a significant
13 reporter of cognitive function. However, previous studies face important limitations, namely technologies that were
14 optimized for reliability over resolution, and incomplete pathological assessment. Therefore, we will investigate two
15 aims with the overall goals to (1) advance MRE technology in order to (2) evaluate of the role of biomechanics in
16 brain reserve.
17 In Aim 1, we will optimize our machine learning-based MRE inversion framework by incorporating new a priori
18 information into the model that is specific to the brain. These advances to the model include the incorporation of
19 partial volume effects to reduce atrophy-related bias, and mechanical anisotropy to accurately model the coherent
20 structure of white matter tracts. Each advance will be tested in simulation and phantom experiments, and finally in
21 vivo for its ability to boost sensitivity to key AD/ADRD processes.
22 In Aim 2, we will use these tools to simultaneously map the mechanical signature of 4 pathophysiological processes
23 including amyloid, tau, white matter hyperintensities, and cardiometabolic conditions. Using first a discovery data set,
24 we will extract the mechanical feature that best reports cognitive performance, both globally and in specific domains.
25 These MRE-based features will then be evaluated in an independent test set for their ability to predict concurrent and
26 future cognitive performance. Finally, we will assess the unique value of mechanical biomarkers to predict cognitive
27 performance, using a parallel analysis but controlling for existing biomarkers derived from anatomical, functional, and
28 diffusion MRI.
29 In sum, the success of this proposal will shed new light on alterations to brain biomechanics with respect to
30 AD/ADRD processes, and their role as a buffer between pathology and cognition.",SUCCESS
ALEXEJ ABYZOV,Uncovering the origin of hypermutability in adult brains,2025,R01,721292,2023-11-15T00:00:00,2028-10-31T00:00:00,,,High,Core computational genomics project from a known computational PI.,"Abstract
 Genomic variants in an individual may be either inherited (i.e., transmitted through the germline) or
generated by mutagenesis in post-zygotic cells. Widespread genomic mosaicism in somatic cells of
phenotypically normal individuals is now well established. In certain cases, it is known that mutations have
causative role in diseases and contribute to neuropsychiatric disorders. But generally, little is known about to
what extent natural mosaicism influences an individual’s susceptibility to disease.
 In our recent study we discovered a phenomenon of hypermutability in adult brains. Hypermutability was
not related to diagnosis but increased with age, reaching at least 3% population frequency (95% confidence
interval) for brains over 40 years old. The phenomenon of hypermutability could have implications for a number
of conditions. Since it correlates with aging, it could be important for age-related neurodegenerative diseases;
or, as it involves mutations in cancer-related genes, it may be related to predisposition for brain cancer.
Alternatively, hypermutability may reflect imbalances (expansion/contraction) between cell lineages in the
developing brain.
 We have three hypotheses explaining hypermutability. The goal of the proposed study is to firmly
establish the origin(s) of hypermutability. To conduct the study, we will first expand the set of hypermutable
brains (Aim 1). The ultimate judgement about the origins will be made from the regional distribution and
frequency of mutations in the brains (Aim 2), the cell type(s) carrying the mutations (Aim 3), and proving (or
disproving) that mutations in the hypermutable brains arose from a clonally expanded cell lineage (Aim 4).
Proving the hypothesized origins of hypermutability will be a fundamental contribution to understanding brain
development and aging in humans and will lay the foundation for future studies of the underlying mechanisms.",SUCCESS
CLIFFORD JACK,"Disease pathways in the population determined by amyloid, tau, and neurodegeneration imaging biomarkers",2025,R37,770061,1993-06-01T00:00:00,2028-05-31T00:00:00,,,High,"""imaging biomarkers"" in a population cohort requires large-scale computational analysis.","PROJECT SUMMARY / ABSTRACT
 In 2010 we proposed, and in 2013 revised, a hypothetical model of the temporal evolution of biomarkers
and clinical symptoms for individuals in the Alzheimer’s disease (AD) pathway. The biomarker model is based
on a hypothesized cause and effect sequence which can be summarized as: amyloidosis (A), promotes
tauopathy (T), which promotes neurodegeneration (N), which is the proximate cause of clinical symptoms (C).
For simplicity, we use this ATNC notation: A T  N  C. The current cycle of AG011378 was designed to
test aspects of this model that were testable using imaging; however, a major missing element when the
current cycle AG011378 began in 2013 was a method to measure fibrillar tau deposits with imaging. Tau PET
has recently become available and, consequently for the first time, imaging biomarkers exist to ascertain three
of the most important pathologic features of AD: amyloid, tau and neurodegeneration.
 An important insight gained from the current cycle of AG011378 was that modeling AD biomarkers on the
assumption that AD is the only pathological process present in the general aging population is conceptually
flawed. We argue that biomarker modeling within the general aging population should accommodate at least
three broad groups based on currently available biomarkers: (1) individuals with no biomarker abnormalities
whose future biomarker profiles are unknown; (2) individuals along the Alzheimer’s continuum; and (3) a
heterogeneous group with primarily suspected non-AD pathologies (SNAP).
 Our aims in this renewal are based on modeling longitudinal amyloid PET (A), tau PET (T), and MRI (N)
biomarkers. The overarching goals of the renewal are to empirically evaluate our hypothetical model of AD
biomarkers and to create complementary imaging biomarker models for individuals who are not in the
Alzheimer’s continuum. Our specific aims are:
Aim 1. To model the sequence of biomarker and clinical transitions over time across multiple pathways. Aim 1
employs hidden Markov models. 1a) To model the sequence of biomarker and clinical transitions in the
Alzheimer’s continuum, 1b) To model the sequence of biomarker and clinical transitions in SNAP pathways.
Aim 2. To model continuous biomarker and clinical trajectories over time across multiple pathways. Aim 2
analyses employ non-linear latent class mixed models. 2a) To model biomarker and clinical trajectories in the
Alzheimer’s continuum, 2b) To model biomarker and clinical trajectories in SNAP pathways.
Aim 3. To formulate mechanistic inferences about biomarker and clinical changes over time across multiple
pathways. 3a) inferences in the Alzheimer’s continuum, 3b) inferences in SNAP pathways.
Aim 4: To establish temporal ordering of topographic spread of A, T, and N within each modality, across
imaging modalities, and establish how these temporal orderings relate to cognitive impairment within (4a) the
Alzheimer’s continuum and (4b) the SNAP pathways. Aim 4 uses a conditional probability approach.",SUCCESS
Terry Burns,Glioma intelligence from behind enemy lines,2025,R37,525455,2023-03-01T00:00:00,2028-02-29T00:00:00,,,Medium,"Creative title. ""Intelligence"" implies data analysis, but it's not explicit. Worth a look at the abstract.","Glioma intelligence from behind enemy lines 
Molecularly diverse gliomas may leverage convergent metabolic survival pathways that can be therapeutically targetable. Microdialysis enables sampling of the extracellular microenvironment and represents a previously underutilized opportunity to characterize and pharmacodynamically monitor living human gliomas, in situ. Our preliminary data from intraoperatively acquired glioma microdialysate reveal strong enrichment for methionine-associated pathways of cancer resiliency, including polyamine synthesis. Specifically, results to date have identified guanidinoacetate (GAA) as the most highly upregulated metabolite in glioma microdialysate, which we hypothesize results from upregulated polyamine synthesis within the tumor. This study will determine the reproducibility and potential therapeutic implications of our findings across a larger cohort of gliomas, asking if microdialysis could be leveraged to obtain mechanistic feedback during early phase clinical evaluation of candidate therapies. To interrogate methionine metabolism human gliomas in situ, we will perform intra-operative microdialysis and methionine tracing, comparing the metabolome of microdialysate and tissue from tumor and adjacent brain. Resected tissue will be used to determine the cellular source of methionine-associated metabolites. Recent studies have demonstrated that diverse tumors can escape DMFO-mediated polyamine metabolism by upregulation of polyamine transporters. Dual blockade of polyamine synthesis and polyamine transports with  DMFO+AMXT 1501 has been shown to improve outcomes in preclinical models. To mechanistically interrogate polyamine metabolism we will perform a combination of preclinical and clinical studies leveraging microdialysis. In a phase 0 study, patients will be randomized to vehicle, DMFO, or DMFO+AMXT 1501, prior to dual administration of DMFO+AMXT to determine the extracellular pharmacodynamic changes induced by early therapeutic stress. Collectively, these studies will test how microdialysis can be used to perform biochemical reconnaissance within the live human glioma, with and without therapeutic challenge, to gain “glioma intelligence from behind enemy lines.”",SUCCESS
Ming-Fen Ho,Single cell multi-omics of iPSC-derived brain organoids from patients with opioid use disorder: synthetic opioids as molecular probes,2025,R01,417613,2023-07-15T00:00:00,2028-05-31T00:00:00,,,High,"""Single cell multi-omics"" is a perfect keyword for a computational biologist.","Project Summary/Abstract
Synthetic opioid-involved overdose deaths have increased sharply. Fentanyl is driving many of those overdose
deaths. However, oxycodone is one of the most prescribed opioid medications in the US. Current in vitro assays
and in vivo models designed to study the pathophysiology of opioid use disorder (OUD) and to discover potential
therapeutic targets are useful, but there is a need for additional model systems. Our preliminary data and serval
preclinical study using single-cell sequencing have revealed that each opioid agent might have unique molecular
profiles and mechanisms of action. Those findings highlight the need for additional models to evaluate drug
action in the brain at the single-cell level. Our research team combines expertise in addiction medicine,
pharmacogenomics, and bioinformatics, expertise required to develop a computational and experimental
framework to integrate gene expression and chromatin accessibility in induced pluripotent stem cell (iPSC)-
derived brain organoids. The goal of the proposed study is to provide novel mechanistic insight into drug action
at single-cell resolution. Our research strategy involves the use of single-cell sequencing technology and
iPSC-derived 3D brain organoids to identify molecular signatures for OUD using two commonly prescribed
synthetic opioids: oxycodone and fentanyl as molecular probes. Aim 1, we will define molecular characteristics
of response to synthetic opioids: oxycodone and fentanyl exposure of iPSC-derived forebrain organoids from
both OUD patients and healthy controls at the single-cell level. Aim 2, we propose to reconstruct transcriptional
regulons in different cell types in the brain organoids by applying novel network biology approaches to prioritize
potential candidates, to detect meaningful biological information embedded in the sea of Big Data and to uncover
novel regulatory mechanisms that explain the properties of biological phenotypes. These approaches could help
to develop mechanistic hypothesis for experimental validation. Aim 3, we will study genes and pathways
identified from Aim 1 and Aim 2 with regard to their potential use as novel drug targets for OUD treatment or
prevention, by pursuing functional genomic studies using appropriate iPS-derived CNS cell types and brain
organoids Our findings will enhance the general understanding of drug mechanism(s) of action and the
underlying pathophysiology responsible for opioid addiction in a drug-dependent fashion, thus opening new
avenues to discover novel therapeutic targets for the treatment of OUD. In summary, this proposal is based on
extensive preliminary data, and decades of experience in using drugs as “molecular probes” for underlying
genomic and other omic mechanisms. As a result, the proposed studies have significant implications for
molecular mechanisms leading to understanding of the pathophysiology of OUD as well as the discovery of novel
therapeutic agents for OUD treatment and/or prevention. If successful, our research approaches could be
generalizable to other opioids and to other substance use disorders.",SUCCESS
